Player,Team,qbMult,Team,AvgDefYds,EstYds
Fields,Chicago Bears,0.6282390346123276,Philadelphia Eagles,183.42857142857142,115.23698863460407
Fields,Chicago Bears,0.6282390346123276,Pittsburgh Steelers,277.25,174.17927234626782
Fields,Chicago Bears,0.6282390346123276,San Francisco 49ers,199.25,125.17662764650626
Fields,Chicago Bears,0.6282390346123276,Seattle Seahawks,236.625,148.65706156514202
Fields,Chicago Bears,0.6282390346123276,Tampa Bay Buccaneers,194.0,121.87837271479154
Fields,Chicago Bears,0.6282390346123276,Tennessee Titans,254.71428571428572,160.02145695911145
Fields,Chicago Bears,0.6282390346123276,Washington Commanders,214.0,134.4431534070381
Burrow,Cincinnati Bengals,1.220015897102392,Arizona Cardinals,252.25,307.7490100440784
Burrow,Cincinnati Bengals,1.220015897102392,Atlanta Falcons,306.875,374.3923784232965
Burrow,Cincinnati Bengals,1.220015897102392,Baltimore Ravens,266.75,325.43924055206304
Burrow,Cincinnati Bengals,1.220015897102392,Buffalo Bills,203.14285714285714,247.8375150970859
Burrow,Cincinnati Bengals,1.220015897102392,Carolina Panthers,232.0,283.04368812775493
Burrow,Cincinnati Bengals,1.220015897102392,Chicago Bears,188.0,229.3629886552497
Burrow,Cincinnati Bengals,1.220015897102392,Cleveland Browns,208.25,254.06831057157314
Burrow,Cincinnati Bengals,1.220015897102392,Dallas Cowboys,178.375,217.62033564563916
Burrow,Cincinnati Bengals,1.220015897102392,Denver Broncos,165.75,202.21763494472148
Burrow,Cincinnati Bengals,1.220015897102392,Detroit Lions,266.42857142857144,325.0470925851373
Burrow,Cincinnati Bengals,1.220015897102392,Green Bay Packers,174.75,213.197778018643
Burrow,Cincinnati Bengals,1.220015897102392,Houston Texans,217.57142857142858,265.44060161242044
Burrow,Cincinnati Bengals,1.220015897102392,Indianapolis Colts,199.75,243.6981754462028
Burrow,Cincinnati Bengals,1.220015897102392,Jacksonville Jaguars,237.125,289.2962696004047
Burrow,Cincinnati Bengals,1.220015897102392,Kansas City Chiefs,277.0,337.9444034973626
Burrow,Cincinnati Bengals,1.220015897102392,Las Vegas Raiders,258.14285714285717,314.9383894377175
Burrow,Cincinnati Bengals,1.220015897102392,Los Angeles Chargers,220.0,268.40349736252625
Burrow,Cincinnati Bengals,1.220015897102392,Los Angeles Rams,205.71428571428572,250.97469883249207
Burrow,Cincinnati Bengals,1.220015897102392,Miami Dolphins,262.125,319.7966670279645
Burrow,Cincinnati Bengals,1.220015897102392,Minnesota Vikings,275.57142857142856,336.20152364435916
Burrow,Cincinnati Bengals,1.220015897102392,New England Patriots,224.5,273.893568899487
Burrow,Cincinnati Bengals,1.220015897102392,New Orleans Saints,208.25,254.06831057157314
Burrow,Cincinnati Bengals,1.220015897102392,New York Giants,208.375,254.22081255871095
Burrow,Cincinnati Bengals,1.220015897102392,New York Jets,203.375,248.12073307319898
Burrow,Cincinnati Bengals,1.220015897102392,Philadelphia Eagles,183.42857142857142,223.78577312563874
Burrow,Cincinnati Bengals,1.220015897102392,Pittsburgh Steelers,277.25,338.24940747163816
Burrow,Cincinnati Bengals,1.220015897102392,San Francisco 49ers,199.25,243.0881674976516
Burrow,Cincinnati Bengals,1.220015897102392,Seattle Seahawks,236.625,288.6862616518535
Burrow,Cincinnati Bengals,1.220015897102392,Tampa Bay Buccaneers,194.0,236.68308403786403
Burrow,Cincinnati Bengals,1.220015897102392,Tennessee Titans,254.71428571428572,310.7554777905093
Burrow,Cincinnati Bengals,1.220015897102392,Washington Commanders,214.0,261.0834019799119
Brissett,Cleveland Browns,0.9756774333405593,Arizona Cardinals,252.25,246.11463256015608
Brissett,Cleveland Browns,0.9756774333405593,Atlanta Falcons,306.875,299.41101235638416
Brissett,Cleveland Browns,0.9756774333405593,Baltimore Ravens,266.75,260.2619553435942
Brissett,Cleveland Browns,0.9756774333405593,Buffalo Bills,203.14285714285714,198.20190145861076
Brissett,Cleveland Browns,0.9756774333405593,Carolina Panthers,232.0,226.35716453500976
Brissett,Cleveland Browns,0.9756774333405593,Chicago Bears,188.0,183.42735746802515
Brissett,Cleveland Browns,0.9756774333405593,Cincinnati Bengals,210.375,205.25814003902016
Brissett,Cleveland Browns,0.9756774333405593,Dallas Cowboys,178.375,174.03646217212227
Brissett,Cleveland Browns,0.9756774333405593,Denver Broncos,165.75,161.7185345761977
Brissett,Cleveland Browns,0.9756774333405593,Detroit Lions,266.42857142857144,259.94834474002045
Brissett,Cleveland Browns,0.9756774333405593,Green Bay Packers,174.75,170.49963147626275
Brissett,Cleveland Browns,0.9756774333405593,Houston Texans,217.57142857142858,212.27953299681027
Brissett,Cleveland Browns,0.9756774333405593,Indianapolis Colts,199.75,194.89156730977672
Brissett,Cleveland Browns,0.9756774333405593,Jacksonville Jaguars,237.125,231.35751138088014
Brissett,Cleveland Browns,0.9756774333405593,Kansas City Chiefs,277.0,270.26264903533496
Brissett,Cleveland Browns,0.9756774333405593,Las Vegas Raiders,258.14285714285717,251.86416029234155
Brissett,Cleveland Browns,0.9756774333405593,Los Angeles Chargers,220.0,214.64903533492304
Brissett,Cleveland Browns,0.9756774333405593,Los Angeles Rams,205.71428571428572,200.7107862872008
Brissett,Cleveland Browns,0.9756774333405593,Miami Dolphins,262.125,255.7494472143941
Brissett,Cleveland Browns,0.9756774333405593,Minnesota Vikings,275.57142857142856,268.8688241305627
Brissett,Cleveland Browns,0.9756774333405593,New England Patriots,224.5,219.03958378495557
Brissett,Cleveland Browns,0.9756774333405593,New Orleans Saints,208.25,203.18482549317147
Brissett,Cleveland Browns,0.9756774333405593,New York Giants,208.375,203.30678517233906
Brissett,Cleveland Browns,0.9756774333405593,New York Jets,203.375,198.42839800563627
Brissett,Cleveland Browns,0.9756774333405593,Philadelphia Eagles,183.42857142857142,178.96711777275402
Brissett,Cleveland Browns,0.9756774333405593,Pittsburgh Steelers,277.25,270.5065683936701
Brissett,Cleveland Browns,0.9756774333405593,San Francisco 49ers,199.25,194.40372859310645
Brissett,Cleveland Browns,0.9756774333405593,Seattle Seahawks,236.625,230.86967266420984
Brissett,Cleveland Browns,0.9756774333405593,Tampa Bay Buccaneers,194.0,189.2814220680685
Brissett,Cleveland Browns,0.9756774333405593,Tennessee Titans,254.71428571428572,248.5189805208882
Brissett,Cleveland Browns,0.9756774333405593,Washington Commanders,214.0,208.7949707348797
Wilson,Denver Broncos,1.014235132596286,Arizona Cardinals,252.25,255.84081219741313
Wilson,Denver Broncos,1.014235132596286,Atlanta Falcons,306.875,311.24340631548523
Wilson,Denver Broncos,1.014235132596286,Baltimore Ravens,266.75,270.5472216200593
Wilson,Denver Broncos,1.014235132596286,Buffalo Bills,203.14285714285714,206.0346226502741
Wilson,Denver Broncos,1.014235132596286,Carolina Panthers,232.0,235.30255076233834
Wilson,Denver Broncos,1.014235132596286,Chicago Bears,188.0,190.67620492810175
Wilson,Denver Broncos,1.014235132596286,Cincinnati Bengals,210.375,213.36971601994367
Wilson,Denver Broncos,1.014235132596286,Cleveland Browns,208.25,211.21446636317654
Wilson,Denver Broncos,1.014235132596286,Dallas Cowboys,178.375,180.9141917768625
Wilson,Denver Broncos,1.014235132596286,Detroit Lions,266.42857142857144,270.2212174702962
Wilson,Denver Broncos,1.014235132596286,Green Bay Packers,174.75,177.23758942120097
Wilson,Denver Broncos,1.014235132596286,Houston Texans,217.57142857142858,220.66858670630623
Wilson,Denver Broncos,1.014235132596286,Indianapolis Colts,199.75,202.59346773610812
Wilson,Denver Broncos,1.014235132596286,Jacksonville Jaguars,237.125,240.5005058168943
Wilson,Denver Broncos,1.014235132596286,Kansas City Chiefs,277.0,280.9431317291712
Wilson,Denver Broncos,1.014235132596286,Las Vegas Raiders,258.14285714285717,261.81755494306987
Wilson,Denver Broncos,1.014235132596286,Los Angeles Chargers,220.0,223.1317291711829
Wilson,Denver Broncos,1.014235132596286,Los Angeles Rams,205.71428571428572,208.64265584837884
Wilson,Denver Broncos,1.014235132596286,Miami Dolphins,262.125,265.85638413180146
Wilson,Denver Broncos,1.014235132596286,Minnesota Vikings,275.57142857142856,279.4942243968908
Wilson,Denver Broncos,1.014235132596286,New England Patriots,224.5,227.6957872678662
Wilson,Denver Broncos,1.014235132596286,New Orleans Saints,208.25,211.21446636317654
Wilson,Denver Broncos,1.014235132596286,New York Giants,208.375,211.34124575475107
Wilson,Denver Broncos,1.014235132596286,New York Jets,203.375,206.27007009176967
Wilson,Denver Broncos,1.014235132596286,Philadelphia Eagles,183.42857142857142,186.03970146480444
Wilson,Denver Broncos,1.014235132596286,Pittsburgh Steelers,277.25,281.1966905123203
Wilson,Denver Broncos,1.014235132596286,San Francisco 49ers,199.25,202.08635016980998
Wilson,Denver Broncos,1.014235132596286,Seattle Seahawks,236.625,239.99338825059615
Wilson,Denver Broncos,1.014235132596286,Tampa Bay Buccaneers,194.0,196.76161572367948
Wilson,Denver Broncos,1.014235132596286,Tennessee Titans,254.71428571428572,258.3401773455968
Wilson,Denver Broncos,1.014235132596286,Washington Commanders,214.0,217.04631837560518
Goff,Detriot Lions,1.13996676060409,Arizona Cardinals,252.25,287.5566153623817
Goff,Detriot Lions,1.13996676060409,Atlanta Falcons,306.875,349.8272996603801
Goff,Detriot Lions,1.13996676060409,Baltimore Ravens,266.75,304.086133391141
Goff,Detriot Lions,1.13996676060409,Buffalo Bills,203.14285714285714,231.57610479700227
Goff,Detriot Lions,1.13996676060409,Carolina Panthers,232.0,264.4722884601489
Goff,Detriot Lions,1.13996676060409,Chicago Bears,188.0,214.3137509935689
Goff,Detriot Lions,1.13996676060409,Cincinnati Bengals,210.375,239.8205072620854
Goff,Detriot Lions,1.13996676060409,Cleveland Browns,208.25,237.39807789580175
Goff,Detriot Lions,1.13996676060409,Dallas Cowboys,178.375,203.34157092275456
Goff,Detriot Lions,1.13996676060409,Denver Broncos,165.75,188.94949057012792
Goff,Detriot Lions,1.13996676060409,Detroit Lions,266.42857142857144,303.71971550380397
Goff,Detriot Lions,1.13996676060409,Green Bay Packers,174.75,199.20919141556473
Goff,Detriot Lions,1.13996676060409,Houston Texans,217.57142857142858,248.0241966285756
Goff,Detriot Lions,1.13996676060409,Indianapolis Colts,199.75,227.70836043066697
Goff,Detriot Lions,1.13996676060409,Jacksonville Jaguars,237.125,270.3146181082448
Goff,Detriot Lions,1.13996676060409,Kansas City Chiefs,277.0,315.7707926873329
Goff,Detriot Lions,1.13996676060409,Las Vegas Raiders,258.14285714285717,294.27427663022723
Goff,Detriot Lions,1.13996676060409,Los Angeles Chargers,220.0,250.7926873328998
Goff,Detriot Lions,1.13996676060409,Los Angeles Rams,205.71428571428572,234.5074478956985
Goff,Detriot Lions,1.13996676060409,Miami Dolphins,262.125,298.8137871233471
